id,trt_image,volt
EP1131,CON_neg_10_12,.
EP1132,CON_neg_10_12,-13.09316667
EP1140,CON_neg_10_12,.
EP1141,CON_neg_10_12,210.7853333
EP1142,CON_neg_10_12,48.11016667
EP1146,CON_neg_10_12,-30.54983333
EP1147,CON_neg_10_12,-15.49983333
EP1148,CON_neg_10_12,-20.07216667
EP1150,CON_neg_10_12,-5.588833333
EP1156,CON_neg_10_12,.
EP1157,CON_neg_10_12,.
EP1158,CON_neg_10_12,41.62583333
EP1159,CON_neg_10_12,-5.589333333
EP1160,CON_neg_10_12,-21.86733333
EP1161,CON_neg_10_12,18.4295
EP1163,CON_neg_10_12,.
EP1164,CON_neg_10_12,.
EP1166,CON_neg_10_12,-158.936
EP1167,CON_neg_10_12,-39.40516667
EP1168,CON_neg_10_12,-12.74583333
EP1170,CON_neg_10_12,.
EP1172,CON_neg_10_12,.
EP1173,CON_neg_10_12,81.73083333
EP1174,CON_neg_10_12,-26.158
EP1175,CON_neg_10_12,105.9588333
EP1176,CON_neg_10_12,-14.45833333
EP1132,PRE_neg_10_12,19.10383333
EP1140,PRE_neg_10_12,33.78133333
EP1141,PRE_neg_10_12,.
EP1142,PRE_neg_10_12,11.1025
EP1146,PRE_neg_10_12,0.347666667
EP1147,PRE_neg_10_12,-23.25466667
EP1148,PRE_neg_10_12,19.199
EP1150,PRE_neg_10_12,.
EP1157,PRE_neg_10_12,3.9735
EP1158,PRE_neg_10_12,.
EP1159,PRE_neg_10_12,-16.38916667
EP1160,PRE_neg_10_12,-71.137
EP1161,PRE_neg_10_12,5.5855
EP1163,PRE_neg_10_12,.
EP1164,PRE_neg_10_12,.
EP1166,PRE_neg_10_12,.
EP1167,PRE_neg_10_12,26.05383333
EP1168,PRE_neg_10_12,-3.005333333
EP1170,PRE_neg_10_12,-12.96666667
EP1172,PRE_neg_10_12,14.14966667
EP1173,PRE_neg_10_12,2.088833333
EP1174,PRE_neg_10_12,-10.70783333
EP1175,PRE_neg_10_12,.
EP1176,PRE_neg_10_12,1.9005
