id,trt_image,volt
EP1131,CON_pos_10_12,.
EP1132,CON_pos_10_12,-8.545
EP1140,CON_pos_10_12,.
EP1141,CON_pos_10_12,436.3681667
EP1142,CON_pos_10_12,67.11583333
EP1146,CON_pos_10_12,9.122833333
EP1147,CON_pos_10_12,-4.053333333
EP1148,CON_pos_10_12,-32.03483333
EP1150,CON_pos_10_12,-14.84083333
EP1156,CON_pos_10_12,.
EP1157,CON_pos_10_12,.
EP1158,CON_pos_10_12,8.900333333
EP1159,CON_pos_10_12,5.444
EP1160,CON_pos_10_12,-16.86
EP1161,CON_pos_10_12,9.377333333
EP1163,CON_pos_10_12,.
EP1164,CON_pos_10_12,.
EP1166,CON_pos_10_12,-38.64283333
EP1167,CON_pos_10_12,-1.227833333
EP1168,CON_pos_10_12,19.51016667
EP1170,CON_pos_10_12,.
EP1172,CON_pos_10_12,.
EP1173,CON_pos_10_12,115.9776667
EP1174,CON_pos_10_12,33.80466667
EP1175,CON_pos_10_12,165.9801667
EP1176,CON_pos_10_12,-5.318333333
EP1132,PRE_pos_10_12,25.32783333
EP1140,PRE_pos_10_12,0.701666667
EP1141,PRE_pos_10_12,.
EP1142,PRE_pos_10_12,-13.18533333
EP1146,PRE_pos_10_12,-24.8705
EP1147,PRE_pos_10_12,-6.155333333
EP1148,PRE_pos_10_12,4.932333333
EP1150,PRE_pos_10_12,.
EP1157,PRE_pos_10_12,1.432666667
EP1158,PRE_pos_10_12,.
EP1159,PRE_pos_10_12,3.663
EP1160,PRE_pos_10_12,14.57
EP1161,PRE_pos_10_12,20.496
EP1163,PRE_pos_10_12,.
EP1164,PRE_pos_10_12,.
EP1166,PRE_pos_10_12,.
EP1167,PRE_pos_10_12,136.8656667
EP1168,PRE_pos_10_12,11.61916667
EP1170,PRE_pos_10_12,5.897166667
EP1172,PRE_pos_10_12,11.82616667
EP1173,PRE_pos_10_12,21.55116667
EP1174,PRE_pos_10_12,-17.97483333
EP1175,PRE_pos_10_12,.
EP1176,PRE_pos_10_12,-5.2285
